#Ref Nstars Noverlap Ncompatible OC
0	14	8	8	2
1	225	37	35	2
2	100	0	0	nan
3	0	0	0	nan
4	172	1	1	2
5	2	0	0	nan
6	309	50	50	1
7	8	2	2	2
8	215	1	1	1
9	5	0	0	nan
10	4	0	0	nan
11	71	59	59	2
12	0	0	0	nan
13	0	0	0	nan
14	12	9	9	2
15	1	1	1	2
16	0	0	0	nan
17	29	1	1	2
18	325	2	2	2
19	22155	50	50	0
20	127	2	2	2
21	1	1	0	nan
22	0	0	0	nan
23	0	0	0	nan
24	276	1	1	2
25	532	142	134	2
26	0	0	0	nan
27	1	1	1	2
28	71	1	1	2
29	0	0	0	nan
30	15	6	6	2
31	0	0	0	nan
32	23	6	0	nan
33	4	0	0	nan
34	73	14	14	2
35	0	0	0	nan
36	13	4	4	2
37	1	1	1	1
38	2	0	0	nan
39	0	0	0	nan
40	0	0	0	nan
41	5	2	2	1
42	424	4	4	2
43	13	3	3	2
44	16	13	12	2
45	129	10	10	2
46	45	7	7	2
47	4	2	0	nan
48	56	3	3	2
49	43	20	19	2
50	120	73	69	2
51	5	1	1	2
52	2	1	1	2
53	0	0	0	nan
54	20	14	13	2
55	0	0	0	nan
56	51	2	2	2
57	1	1	1	1
