#Gaia id md	 Gaia id wd	 total age (yr)	 error low (yr)	 error high (yr)
2543566734628019712	2543472279707400320	3046032790.513174	1151141479.1719372	3611673075.7143946
2544030286155342080	2544024582438777088	1405961898.5993834	789354669.7712933	3496190600.890707
2536947571549610368	2536960490812885760	2569838610.128693	1042978341.5264595	3651940363.1508613
2536695439789556352	2536705752006690304	1939114103.6560364	1034086399.5643097	3581563750.6019354
2587918220489472896	2587920209059035392	1894722351.5032878	1154762781.0417798	3954540735.3689046
3264871552432918528	3264871552432918784	1711674827.2978885	1045987365.3004841	3583882173.21786
3221074598390040832	3221072914762838144	2273076059.643518	1087443648.8106565	4053497659.6521287
875615158730751488	875615158730751360	5909636391.970388	1369794940.7140503	2009309183.1837978
676167219784728576	676167215489980800	2567631909.3828344	1329831433.6036339	4309926410.384298
703747197659174528	703753485491279488	639503297.8823884	309610719.737062	1837014506.1722953
636424547365777152	636417842920590208	2556976686.8484454	953411647.4524846	3356142537.941131
799122031706484736	799133954536821248	3035048534.226408	1084314974.2189703	2967832028.1099625
793350660811961984	793351038769083776	2305451329.440591	929008649.905251	3326365026.0201406
743097619303531776	743097619303531904	2909077812.2420115	1873701308.80737	4420184824.162418
860361084162350336	860411038927355264	3844531447.176025	1377951829.7253017	3651289274.4883895
4030722598505336192	4030722594210006784	3526307597.162183	1571262209.6656315	3496310302.5452547
3898427744542897152	3898427744542897408	1673462589.6065137	479445075.648726	2124950639.767503
4006695825601458816	4006671533266385792	5198608681.240484	1805004180.408908	3184607228.3127747
3706548701910237056	3706548701910085760	8828670514.784588	1961447694.3814173	2270694757.6286983
3928724924885805568	3928724512568932992	1270135093.8734517	665864068.4778539	2754656549.3116393
1465169548332089472	1465169548332089600	1939469458.3191357	1167557344.9622908	4089653122.361966
1610798793983536384	1610800271452287488	2462639927.8556585	1549001567.9481905	4154293359.5184927
1393854601384007424	1393854635743747200	5787021169.150287	1882609908.301571	3339826112.190694
4424639574212380800	4424639368053787776	3660218783.811389	1027358757.6179304	2374797026.720956
1321738561431758592	1321738565727229184	4868892494.261124	2058117246.0347795	4039774260.759184
1323975659572526976	1323951092358466304	6799545416.722013	2113875072.1548862	2845230649.8653297
1328907068007155072	1328909232670299904	4613847747.3611145	1676310532.0958986	3082346524.7972584
4467448891937012992	4467448853280423296	4351353010.285298	1233867744.782907	2672818906.896103
2688230583301685248	2688230579006436864	8369620112.58138	2256511704.107108	2426107000.1632795
2643218398328129536	2643218398328129664	9908884803.55553	1813289397.5435438	1973211555.5593052
